ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso
1,4,4,curso,CS,22,4554,90436,OPTIMAL,217047.0,217047.0,False,217047.0,0.65,0.33,600.0,CS,alfabetica,,4
1,4,5,curso,EAS,45,7452,87538,OPTIMAL,217047.0,217047.0,False,217047.0,0.68,0.36,600.0,EAS,alfabetica,,5
1,4,6,curso,ENF,18,8510,86480,OPTIMAL,217047.0,217047.0,False,217047.0,1.37,1.05,600.0,ENF,alfabetica,,6
1,4,7,curso,FIL,15,2760,92230,OPTIMAL,217047.0,217047.0,False,217047.0,0.6,0.27,600.0,FIL,alfabetica,,7
1,4,8,curso,GEO,10,2070,92920,OPTIMAL,217047.0,217047.0,False,217047.0,0.62,0.3,600.0,GEO,alfabetica,,8
1,4,9,curso,HIS,24,4784,90206,OPTIMAL,217047.0,217047.0,False,217047.0,0.66,0.34,600.0,HIS,alfabetica,,9
1,4,10,curso,LET,36,9154,85836,OPTIMAL,217047.0,217047.0,False,217047.0,4.35,4.0,600.0,LET,alfabetica,,10
1,4,11,curso,MAT,23,4968,90022,OPTIMAL,217047.0,217047.0,False,217047.0,0.67,0.32,600.0,MAT,alfabetica,,11
1,4,12,curso,MED,41,9384,85606,OPTIMAL,217047.0,217047.0,False,217047.0,545.48,545.16,600.0,MED,alfabetica,,12
1,4,13,curso,PED,56,12788,82202,TIME_LIMIT,217047.0,217047.0,False,217047.0,600.41,600.06,600.0,PED,alfabetica,,13
