ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso,tipo_registro,parametro_tipo_vizinhanca,parametro_tempo_modelo_inicial_s,parametro_tempo_heuristica_inicial_s,parametro_tempo_subproblema_s,parametro_tempo_total_maximo_s,parametro_apenas_uma_passada,parametro_salvar_candidatos,parametro_ordem_cursos_solicitada,parametro_seed_ordem_cursos_solicitada,parametro_ordem_cursos,parametro_seed_ordem_cursos,parametro_arquivo_horarios,parametro_arquivo_salas,parametro_arquivo_salas_preferenciais,parametro_diretorio_execucao,parametro_arquivo_melhor_solucao,parametro_arquivo_log_csv,parametro_arquivo_log_json,parametro_gurobi_inicial_TimeLimit,parametro_gurobi_inicial_MIPFocus,parametro_gurobi_inicial_NoRelHeurTime,parametro_gurobi_subproblema_TimeLimit,parametro_gurobi_subproblema_MIPFocus,parametro_gurobi_subproblema_NoRelHeurTime,curso_a,curso_b,posicao_par
1,2,8,curso,GEO,10,2070,92920,OPTIMAL,186275.5,186275.5,False,186275.5,0.61,0.29,600.0,GEO,alfabetica,,8,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,9,curso,HIS,24,4784,90206,OPTIMAL,186275.5,186275.5,False,186275.5,0.66,0.33,600.0,HIS,alfabetica,,9,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,10,curso,LET,36,9154,85836,OPTIMAL,186275.5,186275.5,False,186275.5,2.56,2.23,600.0,LET,alfabetica,,10,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,11,curso,MAT,23,4968,90022,OPTIMAL,186275.5,186275.5,False,186275.5,0.7,0.36,600.0,MAT,alfabetica,,11,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,12,curso,MED,41,9384,85606,OPTIMAL,186275.5,186275.5,False,186275.5,1.2,0.88,600.0,MED,alfabetica,,12,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,2,13,curso,PED,56,12788,82202,OPTIMAL,186275.5,186275.5,False,186275.5,3.96,3.63,600.0,PED,alfabetica,,13,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,,,
1,3,1,par_cursos,ADM+AGRO,99,18032,76958,OPTIMAL,186275.5,186275.5,False,186275.5,8.17,7.84,600.0,,alfabetica,,,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,ADM,AGRO,1
1,3,2,par_cursos,ADM+CC,95,19826,75164,OPTIMAL,186275.5,186275.5,False,186275.5,2.36,2.04,600.0,,alfabetica,,,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,ADM,CC,2
1,3,3,par_cursos,ADM+CS,70,13846,81144,OPTIMAL,186275.5,186275.5,False,186275.5,1.53,1.19,600.0,,alfabetica,,,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,ADM,CS,3
1,3,4,par_cursos,ADM+EAS,93,16744,78246,OPTIMAL,186275.5,186270.5,True,186270.5,1.49,1.17,600.0,,alfabetica,,,iteracao,curso_pares,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/melhor_solucao.sol,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.csv,resultados/experimentos/2024_1/curso_pares/total4h_inicial3min_norel3min_viz10min/20260923_214522/historico.json,180.0,1,180.0,600.0,1,0,ADM,EAS,4
